"SourceProcedureId","FileId","FileName","FilePath","BucketName","ComponentName","Downloaded","LocalFile","Note"
"019dfd39-f9bc-716a-9291-5f7f029f69d9","","Mẫu số 2.3.docx","configuring/019dfd39-2223-7421-83bc-680e14d499ff/Mẫu số 2.3.docx","dvc","-	Công văn đề nghị cấp đổi/cấp lại hiện vật khen thưởng của tập thể hoặc Đơn đề nghị cấp đổi/cấp lại hiện vật khen thưởng của cá nhân, hộ gia đình; -	Danh sách đề nghị cấp đổi/cấp lại hiện vật khen thưởng; -	Hiện vật khen thưởng đề nghị cấp đổi (đối với trường hợp đề nghị cấp đổi). b)	Số lượng hồ sơ: 01 bộ.","False","",""
"019dfd1d-7921-76d7-9c82-0a209d411f39","","Mẫu số 1.2- Bien ban.docx","configuring/019dfd1b-d69a-73bf-a56b-9d67992d2f5c/Mẫu số 1.2- Bien ban.docx","dvc","-	Tờ trình đề nghị xét tặng danh hiệu Chiến sĩ thi đua Bộ Xây dựng; -	Báo cáo thành tích cá nhân; -	Biên bản bình xét thi đua và kết quả bỏ phiếu của tập thể cơ quan, đơn vị hoặc Hội đồng Thi đua - Khen thưởng các cấp; -	Quyết định hoặc xác nhận Bộ trưởng về sáng kiến đã được áp dụng hiệu quả và có khả năng nhân rộng trong phạm vi Bộ Xây dựng hoặc có đề tài khoa học, đề án khoa học, công trình khoa học và công nghệ đã được nghiệm thu và áp dụng hiệu quả, có phạm vi ảnh hưởng trong Bộ Xây dựng. b)	Số lượng hồ sơ: 01 bộ.","False","",""
"019f135c-5bdc-737c-800d-cfe4ec2cdade","","Mẫu số 22.docx","configuring/019f1292-0fa2-760b-86a6-e1d9304294bf/Mẫu số 22.docx","dvc","Bản vẽ tách thửa đất, hợp thửa đất theo Mẫu số 22 ban hành kèm theo Quyết định số 104/2026/QĐ-UBND của UBND tỉnh đối với trường hợp chuyển nhượng một phần dự án mà quyền sử dụng đất để thực hiện dự án đã được cấp Giấy chứng nhận","False","",""
"019e4500-3adb-735c-a722-b7359babf7e4","","Mau 01a TT 32 BXD 10 11 2025.docx","configuring/019e6cb8-15a5-74eb-be67-c91bf2284ae3/Mau 01a TT 32 BXD 10 11 2025.docx","dvc","Giấy tờ chứng minh đối tượng, điều kiện được hưởng chính sách hỗ trợ  về nhà ở xã hội.","False","",""
"019dfd33-32dd-76cc-815b-edcf0b2fc72d","","Mẫu số 1.6.docx","configuring/019dfd30-8740-773e-a3b6-db2b40b9fdd8/Mẫu số 1.6.docx","dvc","- Tờ trình đề nghị xét tặng Giấy khen của Thủ trưởng cơ quan, đơn vị có tư cách pháp nhân thuộc Bộ Xây dựng; - Báo cáo thành tích của đối tượng đề nghị khen thưởng; - Biên bản xét khen thưởng của tập thể cơ quan, đơn vị hoặc Hội đồng Thi đua - Khen thưởng các cấp; b)	Số lượng hồ sơ: 01 bộ","False","",""
"019f5a8a-022e-70c9-87a6-708ef068a052","","Mau so 18_73_2026_QD-UBND.docx","configuring/019f406a-f4ac-750a-af26-1a51ac800df7/Mau so 18_73_2026_QD-UBND.docx","dvc","Đơn đăng ký biến động đất đai, tài sản gắn liền với đất theo Mẫu số 18 - Quyết định số 73/2026/QĐ-UBND ngày 03/7/2026","False","",""
"019d2bfe-698b-74ca-98e7-dd6c51c839e8","","Mẫu số 10 - Đơn đề nghị thỏa thuận thông số kỹ thuật xây dựng cảng thủy nội địa.docx","configuring/019d9593-8f95-77bf-9bc7-520b076da5b7/Mẫu số 10 - Đơn đề nghị thỏa thuận thông số kỹ thuật xây dựng cảng thủy nội địa.docx","dvc","- Đơn đề nghị thỏa thuận thông số kỹ thuật xây dựng cảng thủy nội địa theo mẫu;","False","",""
"019f1b59-df50-709d-871b-877c79db6136","","Mẫu số 29.docx","configuring/019f3bb1-ee5d-723b-ae52-39e3e2d1e433/Mẫu số 29.docx","dvc","Đơn đăng ký biến động đất đai, tài sản gắn liền với đất theo Mẫu số 29 tại Phụ lục IV ban hành kèm theo Quyết định này do người nhận chuyển nhượng quyền sử dụng đất, quyền sở hữu nhà ở, công trình xây dựng, hạng mục công trình xây dựng kê khai","False","",""
"019f1b59-df50-709d-871b-877c79db6136","","Mẫu số 11.docx","configuring/019f4c66-18e8-76d9-94d2-0640e13b140f/Mẫu số 11.docx","dvc","Hồ sơ kê khai xác định nghĩa vụ tài chính: Tờ khai lệ phí trước bạ, tờ khai thuế phi nông nghiệp theo mẫu do Bộ Tài chính quy định; Hóa đơn giá trị gia tăng; Văn bản đề nghị miễn, giảm tiền thuê đất, tiền sử dụng đất theo Mẫu số 11 ban hành kèm theo Quyết định này, giấy tờ chứng minh thuộc đối tượng được miễn, giảm nghĩa vụ tài chính theo quy định (nếu có)","False","",""
"019e4500-3adb-735c-a722-b7359babf7e4","","Mau so 01 TT 08 2026.docx","configuring/019e6cb8-372e-7408-a6db-cb9974308c68/Mau so 01 TT 08 2026.docx","dvc","Giấy tờ chứng minh đối tượng, điều kiện được hưởng chính sách hỗ trợ  về nhà ở xã hội.","False","",""
